title,author,year,abstract
Not Available,Roubert J.,1980,
Records of tuberculosis in Calgary.,McGinnis J.,1980,
"""Allmost as bad as Ireland"": Saint John, 1847.",Whalen J.,1980,
"The medical practice of George Chalmers, M.D.",Stott R.,1980,
The archives of the Inclusa.,Sherwood J.,1980,
Frobisher's Eskimos in England.,Cheshire N.,1980,
The new social history of medicine: some implications for research.,Shortt S.,1980,
The picture of health.,Craig B.,1980,
"""Architecture as therapy.""",Brown T.,1980,
Gynecological operations on the insane.,Mitchinson W.,1980,
Toronto's public health photography.,Sandomirsky J.,1980,
War amputations in Upper Canada.,Roland C.,1980,
"Researching public health services in Ontario, 1882-1930.",MacDougall H.,1980,
Hospital records and record-keeping c.1850-c.1950. Part I.,Craig B.L.,1989,
Hospital records and record-keeping c.1850-c.1950. Part II.,Craig B.L.,1990,
By whose warrant? Analyzing documentary form and procedure,Belton T.,1996,
The archives of the Hudson's Bay Company,Simmons D.,1996,"The Hudson's Bay Company Archives at the Provincial Archives of Manitoba is indispensable for the study of many aspects of Canadian history and it provides an excellent model for the study of a business archives history. This paper surveys the history of the company's management of its archives from the establishment of the Hudson's Bay Company in 1670 to the present day. A major theme in this history is the problem of access which the archival holdings presented to the company in the twentieth century. With the location of the Archives in London, North American historians were frustrated in their attempts to gain access until a microfilming project with the National Archives of Canada and, eventually, the transfer of the Archives to Winnipeg opened this treasure chest of Canadian history to them."
Reforming the archival curriculum to meet contemporary needs,Eastwood T.,1996,
From the top down: The practice of micro-appraisal,Bailey C.,1996,"This article examines the application of the macro-appraisal model, which has been practised at the National Archives of Canada since 1991. After a conceptual review of the theory behind documentation strategy and the macro-appraisal model, the article outlines the National Archives' ""planned approach"" to the macro-appraisal of records of the Canadian federal government. Through a detailed analysis of four appraisals in the field of health and social welfare, a number of strengths and weaknesses of the macro-appraisal model are discussed."
"Forming ""structures of exquisite beauty"": Archivists and education",Ericson T.,1996,
Archival theory and the Dutch Manual,Ketelaar E.,1996,"The Manual by Muller, Feith, and Fruin (1898) owes much to Theodoor Van Riemsdijk (General State Archivist of The Netherlands, 1887-1912), who believed that the basis of archival theory was careful observation and analysis of phenomena and organizations, and the use of diplomatics to understand the records-creating process prior to turning to methodology proper. Muller and Fruin, however, favoured a normative approach to archival methodology, which was codified in the Manual. This codification and standardization--part of the process of professionalization of Dutch archivists--blocked the development of archival theory for a long time. Modern functional archival science seeks, as Van Riemsdijk already understood, a functional interpretation of the context surrounding the creation of documents in order to understand the integrity of the fonds and the functions of the archives."
Letter to the editor,Kula S.,1996,
International technical course archives in Paris,Gadoury L.,1996,
"The archivist, the letter, and the spirit",Taylor H.,1996,"After a brief glance at acquisition practices prior to the post-modem era, the possible archival future in the near future, and examples of remarkable advances made by some of our North American colleagues, an attempt is made to suggest that reliance on reason alone may be insufficient for our approach to the management of records in the next millennium. A fully holistic view of our responsibility for documentary heritage cannot be achieved without a spiritual dimension beyond the teeming thoughts generated in the mind by the ego, through meditation and silence in the belief that our ultimate context is the Creator, whereby every form of life is interconnected through communication within the Cosmos. It is in this context that we must make our decisions as archivists, for which we will receive guidance in a number of ways. We should be wary of literalism in understanding our recorded evidence, which can in the short and long term be seriously distorted over time. The Bible is a good example of this danger. We need, perhaps, to give more consideration to myth in its true sense, including the myths of our own time, which can have a massive impact on society, which includes ourselves. Are these myths a powerful form of ultimate record in the social context? A spiritual grounding in our lives may help to radicalize us as a profession within the structure of our institutions."
"Medical archives: An update of the Spadoni bibliography, 1986-1995",Reaume G.,1996,
Dealing with the records of closing hospitals: The calgaqy area health authority plan,Denham E.,1996,"The reorganization of Alberta's health care system and the establishment of regional authorities necessitates the management of current and historical records of individual institutions. In particular, institutions which are closing or whose functions are being amalgamated with others require identification and preservation of their archival records and cultural artifacts. In Calgary in 1996, three major acute care hospitals were closed; two of these institutions were over one hundred years old. The archivist can play a vital role during the closure of health care centres, managing the records appraisal and disposition process, as well as advising in the more human side of such closures. Archivists can assist health care authorities with the management of legacy issues which arise during the closure of community institutions."
Limited identities for a common identity: Archivists in the twenty-first century,Wallot J.P.,1996,"This paper is about the evolution of the archival profession in the ""Information Age."" The first part provides a brief reminder of the specific and traditional realms of archivists and, among other information professions, librarians. The second section provides an overview of the unprecedented context of the ""Information Age"" challenging narrow disciplinary approaches. The third part sketches a vision for the future, with its impact on our practices and role, on our growing partnerships with other professions, on training, and on providing information to the public. A common identity for archivists will emerge from our own limited identities, both inside our profession and, more and more, through cross-pollination with kindred information professions."
Cutting the Gordian Knot: Or how to preserve non- current clinical records without being buried in paper,Maxwell-Stewart H.,1996,"The quantity of hospital clinical records generated in the last fifty years is widely perceived as a problem, not least because of the storage accommodation required to house hard copy records and the costs involved in converting them to less bulky media. The authors of this paper argue that the real problem is not bulk but lack of use. This in turn is the consequence of inadequate indexing and contextual information structures. At present, access to non-current clinical records is difficult and inherently haphazard. As a result, the constituency of actual users is small. Yet potentially valuable data, particularly for epidemiologists and clinical researchers, is contained within these records. In the course of research conducted in the British National Health Service (NHS) a variety of possible solutions to both the perceived and real problems have been examined. The recommendations made, although addressed primarily to the circumstances of the NHS in Scotland, may be relevant elsewhere. The scheme advocated here is intended to create a ""virtuous circle"" of use leading to a willingness to regard clinical records as a resource to be utilized and valued rather than as a problem. Some of the issues and alternatives considered in respect of clinical records are relevant to the appraisal of other series of PIPS (Particular Instance Papers); they also have implications for the collection and storage of data in electronic form."
Scholarly returns: Patterns of research in a medical archives,McCall N.,1996,"To learn more about researchers who utilize archival documentation from the health fields and the works that they produce, we conducted a study of patrons of the Alan Mason Chesney Medical Archives of The Johns Hopkins Medical Institutions from the inception of the programme in 1978 through 1994. User Population-- Records for both on-site and remote reference services show that fiftyfive per cent of the user population was affiliated with Johns Hopkins and that most of the individuals in the remaining forty-five per cent of the population had affiliations to similar institutions--health care delivery facilities and research universities. The overall user population included both students and professionals from a broad range of disciplines within the health sciences, humanities, and social sciences. Works Produced-Our focus was on works in print (theses, dissertations, articles, chapters, and books). We classified works according to four common topics of research: individuals and their influences; professions in the health, life, and biological sciences; institutions in the health fields; and key functions of institutions in the health fields. Guided by a list of 789 users who had indicated an intention to publish, we located citations to 260 publications. From this group we selected a sample of 136 citations for discussion. Significance of Findings-The bibliographic sample provides insight into common topics of research at a health sciences archives. We hope that elucidation of intellectual themes will serve as a useful resource for appraisal, processing, and reference services. Implications for the Future-That a preponderance of users had affiliations with not-for-profit institutions and published with not-for-profit presses raises compelling issues for the future of archival services. As the funding base for not-for-profit organizations is shrinking, there are fewer resources for travel, research, and academic publishing. To accommodate an audience with less time for research and fewer options for travel, archival programmes will be pressed to develop a wider range of services for remote access. Moreover, as electronic access to literature of the health sciences expands, there are enhanced expectations for electronic access to archival documentation. Archival programmes must, therefore, be poised to assume a more dynamic role in electronic communication. Whereas Internet access to archives will serve largely as a convenience for traditional users, it also promises to introduce archives to a wide new audience of users."
"Today's students, tomorrow's archivists: Present-day focus and development as determinants of archival science in the twenty-first century",Couture C.,1996,
Documenting disease: Ontario's bureaucracy battles tuberculosis,Heald C.,1996,"In appraising archival records, it is important to understand not only their content, but also their form and function. While content will usually narrate what happened historically, an analysis of form and function may reveal that the records had a determining effect upon the course of history itself. Up until the middle of this century, tuberculosis was a disease that claimed numerous lives in Canada. In Ontario, the Department of Health's Division ofTB Prevention dealt with the problem by launching a paper assault and virtually documenting it to death. Two record-keeping systems were particularly useful weapons in the war on TB: the local TB case registers and the mass X-ray surveys. Both information-gathering systems served to seek out and identify people with TB in order that the disease could be contained and eliminated. The government's bureaucratic role was as important to the decline of TB in Ontario as were the antibiotics administered by the medical community."
Batson's trust for the Royal London Hospital: Records management 1820s style,Craig B.,1996,
The protection of the integrity of electronic records: An overview of the UBC-MAS research project,Duranti L.,1996,"The research project currently underway at the University of British Columbia's Master of Archival Studies Programme is directed toward identifying and defining the requirements for creating, handling, and preserving reliable and authentic electronic records. This article provides an overview of the research project, outlining its objectives and methodology, summarizing its conceptual analysis, and presenting its major findings to date."
Myth or reality: Is there a generation gap among electronic records archivists?,Elton Brown T.,1996,
"Nurses, archives, and the history of Canadian health care",McPherson K.,1996,"As a new generation of scholars takes research in nursing history in some innovative directions, nursing archives and archivists face new demands and challenges. Many research collections are housed in small, private archives that face unique issues pertaining to access, privacy, and funding. Whether working with large or small archives, historians and archivists alike confront significant gaps in the primary resource base for nursing history, and must at the same time grapple with how best to define the category of nurse, past and present."
Letter to the editor,Cox R.,1996,
