title,author,year,abstract
Editorial,Gurciullo S.,2013,
Provocations on the pleasures of archived paper,Dever M.,2013,"Digital formats are often popularly imagined to spell the 'end' of paper. In this essay I pose a series of questions about the importance of materiality for how researchers understand and work with archived paper documents. Drawing examples from research among literary papers and personal correspondence, I highlight the ways in which paper traditionally 'disappears' from the researcher's view and ask whether the conditions of the digital turn may in fact provide for a return to 'thinking through paper'. © 2013 © 2013 Australian Society of Archivists Inc."
Recordkeeping metadata and archival description: A revisit,Niu J.,2013,"Metadata go through an evolutionary process from creation to archival preservation. During this process, some metadata are re-used (inheritance), other metadata are eliminated (extinction) and still others are updated or newly generated (mutation). Unlike other literature that focuses on metadata inheritance and mutation, this evolutionary view highlights the extinction of metadata. As such, it might raise awareness about the appraisal and selection of metadata in digital curation practice. © 2013 Australian Society of Archivists Inc."
Digitisation of the WA Welcome Wall collection: A case study,Joseph P.,2013,This article is focused on the partnership between the WA Museum Maritime History Department and Curtin University's Information Studies Department on a retrospective digitisation project in 2012. The aim was to digitise the Welcome Wall project's paper records and link these records to the museum's online maritime history collection. The paper outlines and discusses the key business process questions that were considered prior and during the embarkation on the digitisation project. The conclusion shares lessons learnt from the project. © 2013 © 2013 Australian Society of Archivists Inc.
Archival appraisal in Brazil,Mancuso L.,2013,"This paper analyses archival appraisal in Brazil. 1 The main goal is to inform the international archival community about the Brazilian experience. The paper shows that national academic literature, archival authorities and archival legislation conceive of archival appraisal as a tool for effective records management in government agencies. Therefore, the key underlying foundation of archival appraisal in Brazil regarding government records is the principle of ongoing appraisal throughout the records life cycle, in order to save time and resources, diminish the risk of improper destruction of records and promote accountability and transparency. © 2013 Copyright Australian Society of Archivists Inc."
An educative intervention: assisting in the self-assessment of archival practice in 12 community service organisations,Downing M.,2013,"There is a need for systemic improvement in the management of care records in Australia. This has been highlighted by government inquiries, media coverage and research literature relating to the significance of records for those who experience out-of-home care. The Who Am I? project - an interdisciplinary collaboration between historians, social workers and archivists - sought to address this concern and support positive change in 12 participating community service organisations (CSOs) in Victoria. To provide a framework for practice improvement, research archivists on the Who Am I? team designed the Self-Assessment Tool for Archives. Based on an action research methodology and influenced by the Records Continuum, this was an 'educative intervention' for the CSOs, as well as the participating archivists. © 2013 Copyright Australian Society of Archivists Inc."
Provenance: crossing boundaries,Niu J.,2013,"Through examining the concept of provenance and its use in several communities, including archives management, computer science, rare book cataloging and archaeology, this paper presents an expanded view of provenance. For end-users, provenance covers the whole life cycle of records, from creation and evolution to acquisition, processing, preservation and access. During each stage of this life cycle, both the sociopolitical context and technical details fall within the scope of provenance. © 2013 Copyright Australian Society of Archivists Inc."
Finding aids in context: using Records Continuum and Diffusion of Innovations models to interpret descriptive choices,Battley B.,2013,"The Records Continuum model allows the context of records to be examined from a range of views and perspectives. By viewing finding aids as records created by archivists, the Records Continuum model can be used to examine the influences acting on archival finding aids and the archivists creating them. The Diffusion of Innovations model may reveal barriers and motivators for the adoption of new descriptive systems. The Records Continuum model was used together with Rogers' Diffusion of Innovations model to develop a mixed-methods survey and to analyse the results in a study into descriptive practice in New Zealand archival institutions. This paper looks at the effectiveness of the two models for this type of research. © 2013 Copyright Australian Society of Archivists Inc."
Archiving the feminist self: reflections on the personal papers of Merle Thornton,Henderson M.,2013,"Over the last couple of decades, the modern Australian women's movement has been the subject of history, which includes the creation of feminist archives in various locations This essay analyses one particular collection - the personal papers of the feminist activist, Merle Thornton - as an account of the making and meaning of a feminist archive. I wish to explore the ways in which the feminist subject impacts on the archive. Accordingly, I analyse the archival process, as well as the contents of Thornton's personal papers. What emerge are the difficulties of negotiating the public-private divide for this feminist activist. © 2013 Copyright Australian Society of Archivists Inc."
Editorial,Gurciullo S.,2013,
Can archival science add value to chemical compound library management?,Cianci J.,2013,"The synthesis and testing of thousands of chemical compounds is an essential process in the development of small molecule drug therapies. Over time, even a small research group can generate tens of thousands of compounds and a vast amount of data that is associated with the compounds. One of the challenges faced by research groups is how to manage these compound collections. This review considers chemical compound libraries from a records management perspective and was written based on personal experience working in drug discovery and with knowledge gleaned during postgraduate study in archival systems. A review of the four dimensions - create, capture, organise and pluralise - of the Records Continuum Model has been employed to address some of the issues associated with the management of large chemical compound libraries. This review is not a technical description of how to create a compound library management system; rather, it serves as a starting point for drug development scientists to consider applying archival science theories to improve chemical compound management. © 2013 Copyright Australian Society of Archivists Inc."
Editorial,Gurciullo S.,2013,
